YEAR,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED,RESORGANICSTONS,SCHOOLORGANICTONS,LEAVESORGANICTONS,XMASTREETONS
1990,303504.4,0.0,0.0,0.0,0.0,0.0,0.0
1991,2345895.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,2906071.8,0.0,0.0,0.0,0.0,0.0,0.0
1993,2751928.6,139116.6,86539.7,0.0,0.0,3422.1,0.0
1994,2753880.2,256137.0,162526.0,0.0,0.0,2780.9,1208.6
1995,2691016.3,231199.4,168124.7,0.0,0.0,3322.1,1330.6
1996,2770664.8,256605.0,173701.1,0.0,0.0,2287.8,554.2
1997,2691786.0,221320.7,193311.5,0.0,0.0,4670.3,1666.1
1998,2608081.4,230916.8,243912.0,0.0,0.0,6893.400000000001,2048.9
1999,2576848.3,243095.8,275585.8,0.0,0.0,18671.6,2142.2
2000,2565089.4,253064.4,299002.1,0.0,0.0,16015.6,2284.0
2001,2648601.4,241365.1,312362.0,0.0,0.0,17936.0,2108.0
2002,2875495.1,208997.9,155990.5,0.0,0.0,14.8,1696.9
2003,3074509.7,193667.8,1.0,0.0,0.0,12.7,183.0
2004,2905797.3,329546.2,186858.7,0.0,0.0,17042.2,945.4
2005,2805761.1,372156.4,243745.7,0.0,0.0,13178.6,1376.2
2006,2759260.1,353539.0,234817.2,0.0,0.0,17816.100000000002,1300.8
2007,2692388.4,346711.6,227955.1,0.0,0.0,4866.2,1374.6
2008,2629856.3,341015.4,228650.4,0.0,0.0,15.0,1466.2
2009,2591531.2,311240.8,231092.6,0.0,0.0,0.0,1215.7
2010,2534393.8,299359.3,220878.2,0.0,0.0,0.0,1197.2
2011,2663828.9,301957.2,219438.2,0.0,0.0,0.0,319.7
2012,2586978.9,283164.4,211631.0,0.0,146.5,0.0,1187.4
2013,2553356.8,284065.8,219805.5,594.9,1055.9,0.0,1729.6
2014,2528444.5,288735.8,234966.0,4623.1,3578.8,0.0,1741.5
2015,2498990.8,292723.3,251379.0,8308.8,5356.4,0.0,1769.5
2016,2503022.1,299344.8,275263.9,11221.3,6226.6,3106.7999999999997,1947.7
2017,2504633.6,294064.2,283443.5,23251.0,6497.9,2364.5,2076.8
2018,2528012.3,303129.0,290270.8,35087.3,6710.7,3591.9,2399.2
2019,2513397.1,298673.3,299943.1,32834.3,8205.2,2377.1,1636.2
2020,2664571.9,312203.2,348329.8,8600.5,2670.8,148.0,1683.3
2021,2670184.7,309542.9,318676.6,328.5,1558.0,1962.7,1102.2
2022,37542.7,3815.8,4037.0,40.800000000000004,259.3,15.9,12.3
