year,Products - Paper and Paperboard,Products - Glass,Products - Metals - Ferrous,Products - Metals - Aluminum,Products - Metals - OtherNonferrous,Products - Metals - Total,Products - Plastics,Products - Rubber and Leather,Products - Textiles,Products - Wood,Products - Other,Products - Total Materials,Other Wastes - Food Waste,Other Wastes - Yard Trimmings,Other Wastes - Miscellaneous Inorganic Wastes,Other Wastes - Total,Total MSW Generated - Weight
1960,29990000,6720000,10300000,340000,180000,10820000,390000,1840000,1760000,3030000,70000,54620000,12200000,20000000,1300000,33500000,88120000
1970,44310000,12740000,12360000,800000,670000,13830000,2900000,2970000,2040000,3720000,770000,83280000,12800000,23200000,1780000,37780000,121060000
1980,55160000,15130000,12620000,1730000,1160000,15510000,6830000,4200000,2530000,7010000,2520000,108890000,13000000,27500000,2250000,42750000,151640000
1990,72730000,13100000,12640000,2810000,1100000,16550000,17130000,5790000,5810000,12210000,3190000,146510000,23860000,35000000,2900000,61760000,208270000
2000,87740000,12770000,14150000,3190000,1600000,18940000,25550000,6670000,9480000,13570000,4000000,178720000,30700000,30530000,3500000,64730000,243450000
2005,84840000,12540000,15210000,3330000,1860000,20400000,29380000,7290000,11510000,14790000,4290000,185040000,32930000,32070000,3690000,68690000,253730000
2010,71310000,11520000,16920000,3510000,2020000,22450000,31400000,7750000,13220000,15710000,4710000,178070000,35740000,33400000,3840000,72980000,251050000
2011,69950000,11490000,16650000,3520000,2020000,22190000,32100000,8010000,13690000,15780000,4870000,178080000,36310000,33710000,3870000,73890000,251970000
2012,68620000,11590000,16940000,3510000,1980000,22430000,32070000,8100000,14480000,15820000,4890000,178000000,36430000,33960000,3900000,74290000,252290000
2013,68550000,11540000,17720000,3500000,2010000,23230000,32730000,8350000,14840000,15770000,4870000,179880000,37060000,34200000,3930000,75190000,255070000
2014,68610000,11480000,17880000,3560000,2020000,23460000,33340000,8210000,15240000,16120000,4800000,181260000,38670000,34500000,3970000,77140000,258400000
2015,68050000,11470000,18190000,3670000,2010000,23870000,34480000,8560000,16060000,16300000,4880000,183670000,39730000,34720000,3990000,78440000,262110000
2016,67480000,12610000,18690000,3770000,2300000,24760000,34910000,9200000,16880000,18440000,4550000,188830000,40310000,34950000,4020000,79280000,268110000
2017,67010000,12300000,18890000,3820000,2510000,25220000,35410000,9110000,16890000,18200000,4630000,188770000,40670000,35180000,4040000,79890000,268660000
2018,67390000,12250000,19200000,3890000,2510000,25600000,35680000,9160000,17030000,18090000,4560000,189760000,63130000,35400000,4070000,102600000,292360000
